Genus	10A	10B	10C	10D	10F	11A	11B	11C	11D	11F	12A	12B	12C	12D	12F	13A	13C	13D	13F	14A	14B	14C	14D	14F	15A	15B	15C	15D	16A	16B	16C	16D	16F	18A	18B	18C	18D	18F	19A	19B	19C	19D	20A	20B	20C	20D	20F	21A	21B	21C	21F	22A	22B	22C	22D	22F	23A	23B	23C	23D	23F	24A1	24A2	24B	24D	24F	25A	25B	25C	25F	26A	26B	26C	26D	26F	27A	27B	27C	27D	28A	28B	28C	28D	28F	29A	29C	29D1	29D2	30A	30B	30C	30D	30F	31A	31B	31C	31D	31F	32A	32B	32C	32D1	32D2	32F	33A	33B	33C	33D	33F	34A	34B	34C	34D	35A	35B	35C	35D	3A	3B	3C	3D	3F	4A	4B	4C	4D	4F	6A	6B	6C	6D	6F	7A	7B	7C	7D
Bacteria;Firmicutes;Bacilli;Thermoactinomycetales;Thermoactinomycetaceae;Kroppenstedtia	0	0	0	0	0	0	12	2	14	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Thermoactinomycetales;Thermoactinomycetaceae;Thermoactinomyces	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;?;?;?	7	5325	8985	91	11980	559	1754	2196	2010	5773	41	18861	5415	153	9110	6936	8348	1535	6300	3847	959	3407	1144	2098	15	445	128	405	286	7019	6720	1353	2240	15	38	9	52	112	365	1969	25	669	2712	1193	6821	523	7503	1367	293	10682	3760	800	821	386	22	3087	132	590	65	348	6334	839	357	2433	419	3211	508	171	1702	6712	582	216	5026	255	6773	71	1986	3881	872	127	211	1766	304	6522	442	5618	1390	98	1134	4366	809	4353	6685	233	5735	1202	2989	3950	2406	2211	26717	3115	3201	7143	236	3805	6829	1609	4092	640	1047	74	954	813	652	3897	282	821	411	2429	726	524	3	26	329	9	5435	2399	403	2579	446	3943	374	2	167	1
Bacteria;Firmicutes;Clostridia;?;uncultured organism;?	0	0	0	0	0	0	0	5	0	14	0	22	3	0	31	1	0	0	10	0	0	0	0	12	0	0	0	0	0	15	26	0	13	0	0	0	0	0	0	0	0	0	0	0	5	0	17	0	0	37	0	0	0	0	0	1	0	0	0	0	4	34	9	15	0	72	0	0	0	0	0	0	16	0	39	0	0	0	0	0	0	6	0	4	0	95	0	0	0	0	0	0	31	0	83	0	0	0	1	0	29	10	0	106	132	0	67	0	161	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	49	0	0	1	0	0	15	0	0	0
Bacteria;Firmicutes;Clostridia;Caldicoprobacterales;Caldicoprobacteraceae;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Christensenellales;?;?	0	119	282	0	260	18	86	101	55	488	0	213	571	0	1108	1870	67	12	1125	0	2	776	0	926	1	120	28	6	37	274	259	0	101	0	0	0	0	0	0	42	0	201	11	0	47	4	122	1	30	803	37	1	36	11	0	634	2	54	4	3	185	26	36	38	0	79	0	10	391	1729	19	3	377	0	1324	0	44	46	100	2	10	59	3	122	72	1198	75	3	21	119	14	151	219	42	1051	100	115	120	88	58	367	141	538	591	222	230	166	1	144	11	56	3	4	32	12	720	25	0	0	536	0	500	0	0	1	0	81	0	0	8	0	27	27	0	3	0
Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;?	0	173	61	0	46	2	52	45	2	638	0	158	177	0	308	296	59	12	1758	1	0	794	0	685	0	144	16	0	0	383	790	0	431	0	0	0	0	0	0	6	0	0	202	45	871	14	1628	36	1	333	412	20	0	1	0	781	0	34	0	437	666	3	56	133	0	217	0	0	36	249	0	0	102	171	509	0	1	34	0	0	1	1	0	46	23	354	0	13	0	7	17	46	504	0	278	23	1	421	41	2	436	214	166	925	1	14	200	0	249	22	0	0	0	48	0	229	0	0	0	45	0	12	0	0	4	0	195	0	2	341	1	624	7	6	0	0
Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenella	0	0	0	0	0	0	0	0	0	0	0	6	2	0	1	0	4	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	5	6	1	0	0	0	0	1	0	0	0	0	1	0	0	17	0	13	0	0	0	0	0	0	9	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	17	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	8	0	0	0	0
Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenella sp. Marseille-P2437	0	0	2	0	2	0	0	0	0	1	0	5	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	2	5	0	0	0	0	2	0	0	13	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	0	0
Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group	7	1250	835	0	1017	110	134	569	251	2024	0	638	541	0	1149	2298	150	184	8603	0	0	5098	1	5458	0	547	60	0	11	8994	6311	0	1790	0	0	0	0	0	204	15	0	204	13	31	760	1	1249	55	48	7298	35	477	14	0	84	6866	0	51	13	0	715	75	44	318	0	963	0	0	360	2268	0	0	664	17	1614	21	6	450	0	56	15	64	0	90	70	2600	0	0	68	11	93	413	1048	277	1216	167	0	83	110	6	817	122	223	1435	365	23	1273	592	1248	12	43	8	0	180	0	1424	466	6	6	280	0	114	0	0	37	0	158	2	3	33	0	22	310	10	5	0
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;?;?	0	741	1824	0	3323	23	824	235	88	131	2	302	445	0	549	398	226	9	570	2	0	737	0	355	0	13	0	0	29	1435	519	26	135	0	1	0	0	0	583	5	0	399	0	3	3	0	5	0	0	426	0	585	76	86	158	88	0	70	12	379	96	25	48	98	0	21	36	0	135	453	32	57	434	0	844	4	0	40	0	13	1	52	0	70	157	756	194	35	0	17	44	171	1519	0	450	73	0	48	9	3	476	356	234	481	1	2	3445	166	5434	59	10	0	0	61	317	749	0	0	0	144	0	41	0	0	25	0	456	0	0	0	0	0	22	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;gut metagenome;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;uncultured Acetivibrio sp.;?	0	0	0	0	9	5	14	42	23	170	0	0	5	0	2	2	11	0	0	0	0	0	0	0	0	0	0	0	0	13	3	0	0	0	0	0	0	0	98	0	0	0	0	8	0	0	0	0	0	94	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	48	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	37	3	0	13	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;uncultured Clostridiales bacterium;?	0	0	0	0	0	0	3	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	1	0	2	0	0	0	0	0	0	0	0	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	11	0	38	1	0	0	5	0	0	2	0	0	0	0	0	5	0	0	10	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;uncultured rumen bacterium;?	0	0	0	0	2	0	0	19	4	0	0	0	0	0	3	1	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	15	0	0	0	0	1	12	1	0	0	0	0	0	0	3	0	0	3	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	20	0	41	2	0	1	0	0	6	0	0	16	0	2	0	0	1	15	0	0	0	0	95	36	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;?;?	0	594	91	0	64	84	16	27	24	28	0	311	255	0	292	1	282	0	42	0	0	140	0	263	0	7	6	0	10	816	1037	108	609	0	0	0	0	0	0	2	0	0	19	3	7	10	18	31	13	1299	27	64	0	1	0	120	0	0	0	0	1	39	92	19	0	11	0	0	41	1	0	0	170	3	15	0	0	8	461	0	0	88	0	18	0	1902	0	0	134	2	116	193	126	0	0	31	0	44	14	5	37	0	20	379	0	0	1044	2	625	0	2	7	240	39	189	578	380	0	0	22	0	5	0	0	44	0	510	5	63	33	52	11	18	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;gut metagenome;?	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;uncultured organism;?	0	0	0	0	0	0	0	0	0	4	0	10	57	0	70	0	0	0	3	0	0	10	0	10	0	2	0	0	0	2	5	0	2	0	0	0	0	0	0	0	0	0	68	16	96	12	122	8	0	10	40	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	1	0	5	0	36	0	0	0	0	0	5	2	0	0	4	0	74	0	1	3	0	0	55	0	0	80	0	56	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	3	0	12	0	2	139	0	113	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;uncultured rumen bacterium;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;?;?	0	418	2071	0	2802	144	1026	1071	251	2401	3	2489	2122	28	8074	6672	1137	6	1842	0	0	1350	0	1119	0	35	17	2	0	1278	3447	134	2595	2	1	0	0	1	6	15	0	3	1617	498	4748	603	8928	522	1	3761	876	484	6	6	0	2142	43	50	4	71	1721	19	48	348	1	3101	4	1	1495	5553	59	7	1618	197	1854	0	19	5059	1179	35	37	1155	136	1220	15	2751	12	212	18	45	281	129	4187	3	403	257	20	815	42	25	2170	119	179	2906	358	73	5812	294	5637	43	11	8	435	232	11	6159	172	0	0	677	0	81	5	6	66	27	633	2	67	4372	13	1140	276	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Candidatus Arthromitus	2895	6293	66	0	95	0	0	0	0	0	0	0	0	552	0	13	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	636	0	0	0	0	0	0	0	0	51	0	0	0	1400	0	0	2	0	0	0	0	0	0	0	436	0	3	0	0	0	0	0	2085	7	0	44	0	2464	1	0	27	7943	0	0	13	0	2	0	0	0	44	0	0	1	0	672	603	0	0	0	6	0	0	0	0	0	1029	2	0	1	0	423	48	0	0	0	0	0	0	39603	59	0	15804	338	57	2	0	355	0	0	0	0	0	0	404	995	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium	0	0	0	0	0	44	3	0	0	1	25	10	0	28	0	3	0	0	2	7058	25225	226	8768	138	1028	1396	15190	1350	2	2	2	0	4	162	443	101	645	130	0	7	0	0	658	457	189	122	279	466	20	9	2976	0	0	0	1	0	0	0	67	0	1	0	0	0	0	10	0	0	1	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	1388	2	0	0	0	8	0	0	0	0	0	2	0	0	1	0	3	0	2	0	149	60	5	67	36	9	166	12	156	0	3	1834	2079	1543	2548	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1	0	0	2	16	2	20	42	26	115	55	1933	971	546	10849	99	6	59	4	120	91380	72426	668	37765	630	1204	3526	146	16992	37	102	783	36	638	61	40	74	100	1992	0	4	205	426	1802	996	3510	288	1399	1592	6	55	1611	208	0	79	115	30	0	66	5	0	133	0	0	3	0	4	0	0	1	10	0	2	5	0	27	163	26	13	0	2	1	3	0	20	11	11	13	0	0	125	28	374	435	16	164	6	0	942	122	25	102	420	316	176	0	44	12	0	20	47	11	0	1	3	195	31	303	1	12	0	1	5	26	890	212	63	933	0	822	437	735	727	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Hathewaya	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;SMB53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium	0	0	0	0	0	0	0	19	384	18	0	0	0	3	2	5	0	0	2	0	0	19	0	12	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	4	0	0	5	0	3	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;?	0	85	12	0	1	0	0	0	6	6	0	12	2	4	29	1	11	0	59	0	0	1	0	1	7	88	21	9	0	4	12	0	24	0	0	3	8	0	0	1	0	0	31	7	56	13	97	13	4	31	38	0	0	0	1	171	0	0	0	0	7	0	0	9	0	7	0	0	74	1	0	0	7	0	0	0	0	45	0	0	0	5	0	6	0	381	0	0	0	2	0	24	592	0	0	0	0	42	0	0	84	0	0	209	0	2	35	0	16	0	0	0	0	11	0	226	0	0	0	1	0	0	3	3	1	3	21	0	15	86	7	144	144	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus	0	788	424	0	90	43	4	505	75	707	3	1948	526	0	2080	17	190	0	2325	0	0	2487	0	2818	0	9	18	0	0	1467	3718	0	4376	13	2	15	22	8	1	4	0	0	4	0	271	0	1209	4	1	1945	4	0	0	76	0	2711	0	19	11	0	64	2	0	33	0	244	0	0	2108	26	0	0	462	6	64	0	0	1899	12	20	0	243	363	158	3	8861	1	0	2	10	178	377	2465	5	16	303	14	24	13	5	1035	1	7	2260	0	12	467	42	343	0	6	19	0	267	0	9357	168	9	0	3742	0	110	6	3	13	3	669	0	0	3	0	18	926	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea	0	0	1	0	0	4	1	0	0	1	0	22	25	0	287	0	1	0	7	0	0	1	0	0	0	2	3	0	0	85	212	0	270	13	4	11	18	2	0	0	0	0	132	7	0	27	1	51	0	0	43	0	0	0	0	33	0	0	0	0	3	0	0	0	0	3	0	0	20	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	31	0	0	0	0	0	1	0	0	0	2	0	31	0	0	3	0	0	7	0	0	16	0	29	0	0	0	0	0	0	3	0	0	0	0	0	0	3	1	3	9	1	0	11	473	5	51	65	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Ruminococcus]	0	0	0	0	0	0	0	0	0	0	9	30	7	12	4	2	0	0	7	3	0	19	6	18	6	50	3	7	0	0	4	0	3	52	14	49	18	80	0	0	0	0	7	0	75	28	70	6	0	0	27	0	0	0	0	3	0	2	0	0	17	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	13	18	10	1	0	0	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;Oscillibacter	0	0	0	0	0	0	0	0	0	0	0	11	3	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Peptococcus	0	0	1	0	3	0	2	4	0	43	0	0	2	0	0	106	0	0	25	0	0	2	0	3	0	0	1	0	0	11	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	23	0	0	0	0	41	0	0	3	0	51	0	0	3	106	0	0	1	0	30	0	0	20	0	0	0	0	0	2	0	0	0	0	0	0	0	0	16	0	5	0	3	0	0	0	7	0	5	29	0	0	8	0	26	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;?	0	0	1	1	0	0	15	18	10	1	0	29	16	0	2	73	11	252	0	1	0	0	0	0	0	0	1	0	44	3	0	0	7	0	0	0	0	0	4	39	0	0	0	4	1	0	0	2	9	2	0	0	11	23	46	2	0	25	0	0	2	6	2	8	0	9	178	0	0	26	5	9	1	55	22	1	29	0	0	0	4	0	1	2	1	0	6	2	0	12	0	0	0	0	0	0	0	0	12	7	0	0	13	1	5	5	2	232	5	0	0	1	0	1	147	0	0	18	1	0	0	4	0	0	0	0	7	0	0	0	0	0	0	0	0	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Filifactor	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	21	12	1	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	3	36	24	24	27	0	0	1	0	1	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Peptostreptococcus	0	0	0	0	0	0	0	0	0	0	4	2	0	2	0	3	0	0	0	0	0	0	0	0	0	0	4	8	0	0	0	0	0	4	0	4	3	12	0	1	0	0	0	2	0	6	3	19	32	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	6	1	0	0	3	0	1	1	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;?	33	1231	408	319	410	1506	1060	627	1108	766	170	976	762	1478	3725	1874	1124	534	1813	27	7	1717	86	1702	108	1204	74	2	141	957	1879	142	1610	133	323	48	459	444	391	38	8	469	100	189	1862	126	1532	139	9	400	1051	518	94	1050	332	2304	81	283	34	0	2735	2714	1594	1334	345	3316	834	148	948	3230	1341	41	938	135	815	23	18	1804	329	0	25	436	40	1949	2442	1694	2757	19	114	33	492	759	2509	12	3058	658	226	1188	4885	653	831	920	2613	4125	215	229	3964	89	5193	8748	20	29	692	719	9439	4738	975	440	18	2412	0	249	40	671	4141	228	3656	0	149	1115	162	1349	1096	3952	2280	2654
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Candidatus Soleaferrea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	1	4	2	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	97	82	47	0	73	10	22	0	0	34	75	0	0	0	0	0	0	14	0	1	2	2	9	29	7	0	0	0	8	2	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	66	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
