	#SampleID	Taxonomy	GROUP	Subgroup	Value	Total	RelativeAbundance
885	10B	g_Corynebacterium	OB-BPD/DS 	MAM-I	314	161661	0.0019423361231218
973	10B	g_Bacteroides	OB-BPD/DS 	MAM-I	1	161661	6.185783831598221e-06
994	10B	g_Prevotella	OB-BPD/DS 	MAM-I	783	161661	0.0048434687401414
1004	10B	g_dgA-11 gut group	OB-BPD/DS 	MAM-I	149	161661	0.0009216817909081
1047	10B	g_Campylobacter	OB-BPD/DS 	MAM-I	129	161661	0.0007979661142761
1049	10B	g_Helicobacter	OB-BPD/DS 	MAM-I	7190	161661	0.0444757857491912
1131	10B	g_Allobaculum	OB-BPD/DS 	MAM-I	1901	161661	0.0117591750638682
1147	10B	g_Aerococcus	OB-BPD/DS 	MAM-I	0	161661	0.0
1161	10B	g_Lactobacillus	OB-BPD/DS 	MAM-I	2554	161661	0.0157984919059018
1187	10B	g_Jeotgalicoccus	OB-BPD/DS 	MAM-I	0	161661	0.0
1224	10B	g_Coprococcus	OB-BPD/DS 	MAM-I	788	161661	0.0048743976592993
1248	10B	g_Blautia	OB-BPD/DS 	MAM-I	921	161661	0.0056971069089019
1253	10B	g_Lachnoclostridium	OB-BPD/DS 	MAM-I	984	161661	0.0060868112902926
1259	10B	g_Lachnospiraceae NK4A136 group	OB-BPD/DS 	MAM-I	2212	161661	0.0136829538354952
1265	10B	g_Marvinbryantia	OB-BPD/DS 	MAM-I	2167	161661	0.0134045935630733
1288	10B	g_Colidextribacter	OB-BPD/DS 	MAM-I	4523	161661	0.0279783002703187
1298	10B	g_UCG-005	OB-BPD/DS 	MAM-I	1685	161661	0.010423045756243
1349	10B	g_Romboutsia	OB-BPD/DS 	MAM-I	44	161661	0.0002721744885903
1384	10B	g_Fusobacterium	OB-BPD/DS 	MAM-I	1520	161661	0.0094023914240292
1411	10B	g_Candidatus Saccharimonas	OB-BPD/DS 	MAM-I	22319	161661	0.1380605093374406
1561	10B	g_Escherichia-Shigella	OB-BPD/DS 	MAM-I	0	161661	0.0
1562	10B	g_Klebsiella	OB-BPD/DS 	MAM-I	0	161661	0.0
1712	10C	g_Corynebacterium	OB-BPD/DS 	MAMLI	99	169074	0.0005855424252102
1800	10C	g_Bacteroides	OB-BPD/DS 	MAMLI	6	169074	3.548741970971291e-05
1821	10C	g_Prevotella	OB-BPD/DS 	MAMLI	862	169074	0.0050983592982954
1831	10C	g_dgA-11 gut group	OB-BPD/DS 	MAMLI	515	169074	0.0030460035250836
1874	10C	g_Campylobacter	OB-BPD/DS 	MAMLI	105	169074	0.0006210298449199
1876	10C	g_Helicobacter	OB-BPD/DS 	MAMLI	10996	169074	0.0650366111880005
1958	10C	g_Allobaculum	OB-BPD/DS 	MAMLI	2466	169074	0.014585329500692
1974	10C	g_Aerococcus	OB-BPD/DS 	MAMLI	2	169074	1.1829139903237635e-05
1988	10C	g_Lactobacillus	OB-BPD/DS 	MAMLI	6616	169074	0.0391307947999101
2014	10C	g_Jeotgalicoccus	OB-BPD/DS 	MAMLI	0	169074	0.0
2051	10C	g_Coprococcus	OB-BPD/DS 	MAMLI	424	169074	0.0025077776594863
2075	10C	g_Blautia	OB-BPD/DS 	MAMLI	3085	169074	0.018246448300744
2080	10C	g_Lachnoclostridium	OB-BPD/DS 	MAMLI	1363	169074	0.0080615588440564
2086	10C	g_Lachnospiraceae NK4A136 group	OB-BPD/DS 	MAMLI	5890	169074	0.0348368170150348
2092	10C	g_Marvinbryantia	OB-BPD/DS 	MAMLI	2649	169074	0.0156676958018382
2115	10C	g_Colidextribacter	OB-BPD/DS 	MAMLI	3419	169074	0.0202219146645847
2125	10C	g_UCG-005	OB-BPD/DS 	MAMLI	9609	169074	0.0568331026651052
2176	10C	g_Romboutsia	OB-BPD/DS 	MAMLI	101	169074	0.0005973715651135
2211	10C	g_Fusobacterium	OB-BPD/DS 	MAMLI	1656	169074	0.0097945278398807
2238	10C	g_Candidatus Saccharimonas	OB-BPD/DS 	MAMLI	14290	169074	0.0845192046086329
2388	10C	g_Escherichia-Shigella	OB-BPD/DS 	MAMLI	141	169074	0.0008339543631782
2389	10C	g_Klebsiella	OB-BPD/DS 	MAMLI	4	169074	2.365827980647527e-05
2539	10D	g_Corynebacterium	OB-BPD/DS 	MAM-D	1153	174787	0.0065966004336706
2627	10D	g_Bacteroides	OB-BPD/DS 	MAM-D	0	174787	0.0
2648	10D	g_Prevotella	OB-BPD/DS 	MAM-D	2	174787	1.14424985839908e-05
2658	10D	g_dgA-11 gut group	OB-BPD/DS 	MAM-D	0	174787	0.0
2701	10D	g_Campylobacter	OB-BPD/DS 	MAM-D	194	174787	0.0011099223626471
2703	10D	g_Helicobacter	OB-BPD/DS 	MAM-D	6915	174787	0.0395624388541481
2785	10D	g_Allobaculum	OB-BPD/DS 	MAM-D	2	174787	1.14424985839908e-05
2801	10D	g_Aerococcus	OB-BPD/DS 	MAM-D	0	174787	0.0
2815	10D	g_Lactobacillus	OB-BPD/DS 	MAM-D	27541	174787	0.1575689267508453
2841	10D	g_Jeotgalicoccus	OB-BPD/DS 	MAM-D	0	174787	0.0
2878	10D	g_Coprococcus	OB-BPD/DS 	MAM-D	0	174787	0.0
2902	10D	g_Blautia	OB-BPD/DS 	MAM-D	2373	174787	0.013576524569905
2907	10D	g_Lachnoclostridium	OB-BPD/DS 	MAM-D	139	174787	0.0007952536515873
2913	10D	g_Lachnospiraceae NK4A136 group	OB-BPD/DS 	MAM-D	0	174787	0.0
2919	10D	g_Marvinbryantia	OB-BPD/DS 	MAM-D	14	174787	8.00974900879356e-05
2942	10D	g_Colidextribacter	OB-BPD/DS 	MAM-D	0	174787	0.0
2952	10D	g_UCG-005	OB-BPD/DS 	MAM-D	0	174787	0.0
3003	10D	g_Romboutsia	OB-BPD/DS 	MAM-D	0	174787	0.0
3038	10D	g_Fusobacterium	OB-BPD/DS 	MAM-D	115	174787	0.0006579436685794
3065	10D	g_Candidatus Saccharimonas	OB-BPD/DS 	MAM-D	0	174787	0.0
3215	10D	g_Escherichia-Shigella	OB-BPD/DS 	MAM-D	5250	174787	0.0300365587829758
3216	10D	g_Klebsiella	OB-BPD/DS 	MAM-D	5	174787	2.8606246459977e-05
3366	10F	g_Corynebacterium	OB-BPD/DS 	Fecal	129	161374	0.0007993852789172
3454	10F	g_Bacteroides	OB-BPD/DS 	Fecal	5	161374	3.098392553943014e-05
3475	10F	g_Prevotella	OB-BPD/DS 	Fecal	293	161374	0.0018156580366106
3485	10F	g_dgA-11 gut group	OB-BPD/DS 	Fecal	677	161374	0.0041952235180388
3528	10F	g_Campylobacter	OB-BPD/DS 	Fecal	103	161374	0.0006382688661122
3530	10F	g_Helicobacter	OB-BPD/DS 	Fecal	616	161374	0.0038172196264577
3612	10F	g_Allobaculum	OB-BPD/DS 	Fecal	2702	161374	0.016743713361508
3628	10F	g_Aerococcus	OB-BPD/DS 	Fecal	1	161374	6.196785107886029e-06
3642	10F	g_Lactobacillus	OB-BPD/DS 	Fecal	8327	161374	0.0516006295933669
3668	10F	g_Jeotgalicoccus	OB-BPD/DS 	Fecal	0	161374	0.0
3705	10F	g_Coprococcus	OB-BPD/DS 	Fecal	90	161374	0.0005577106597097
3729	10F	g_Blautia	OB-BPD/DS 	Fecal	5925	161374	0.0367159517642247
3734	10F	g_Lachnoclostridium	OB-BPD/DS 	Fecal	2665	161374	0.0165144323125162
3740	10F	g_Lachnospiraceae NK4A136 group	OB-BPD/DS 	Fecal	10267	161374	0.0636223927026658
3746	10F	g_Marvinbryantia	OB-BPD/DS 	Fecal	4451	161374	0.0275818905152007
3769	10F	g_Colidextribacter	OB-BPD/DS 	Fecal	2114	161374	0.013100003718071
3779	10F	g_UCG-005	OB-BPD/DS 	Fecal	10038	161374	0.0622033289129599
3830	10F	g_Romboutsia	OB-BPD/DS 	Fecal	150	161374	0.0009295177661829
3865	10F	g_Fusobacterium	OB-BPD/DS 	Fecal	1239	161374	0.0076778167486707
3892	10F	g_Candidatus Saccharimonas	OB-BPD/DS 	Fecal	3647	161374	0.0225996752884603
4042	10F	g_Escherichia-Shigella	OB-BPD/DS 	Fecal	181	161374	0.0011216181045273
4043	10F	g_Klebsiella	OB-BPD/DS 	Fecal	0	161374	0.0
4193	11A	g_Corynebacterium	CHJ-BPD/DS+	MAM-J	46	188174	0.0002444546005292
4281	11A	g_Bacteroides	CHJ-BPD/DS+	MAM-J	59	188174	0.000313539596331
4302	11A	g_Prevotella	CHJ-BPD/DS+	MAM-J	85	188174	0.0004517095879345
4312	11A	g_dgA-11 gut group	CHJ-BPD/DS+	MAM-J	141	188174	0.0007493064929267
4355	11A	g_Campylobacter	CHJ-BPD/DS+	MAM-J	0	188174	0.0
4357	11A	g_Helicobacter	CHJ-BPD/DS+	MAM-J	133191	188174	0.7078076673716879
4439	11A	g_Allobaculum	CHJ-BPD/DS+	MAM-J	151	188174	0.0008024487973896
4455	11A	g_Aerococcus	CHJ-BPD/DS+	MAM-J	27	188174	0.0001434842220498
4469	11A	g_Lactobacillus	CHJ-BPD/DS+	MAM-J	66	188174	0.000350739209455
4495	11A	g_Jeotgalicoccus	CHJ-BPD/DS+	MAM-J	5	188174	2.657115223144537e-05
4532	11A	g_Coprococcus	CHJ-BPD/DS+	MAM-J	43	188174	0.0002285119091904
4556	11A	g_Blautia	CHJ-BPD/DS+	MAM-J	107	188174	0.0005686226577529
4561	11A	g_Lachnoclostridium	CHJ-BPD/DS+	MAM-J	88	188174	0.0004676522792734
4567	11A	g_Lachnospiraceae NK4A136 group	CHJ-BPD/DS+	MAM-J	116	188174	0.0006164507317695
4573	11A	g_Marvinbryantia	CHJ-BPD/DS+	MAM-J	32	188174	0.0001700553742812
4596	11A	g_Colidextribacter	CHJ-BPD/DS+	MAM-J	389	188174	0.0020672356436064
4606	11A	g_UCG-005	CHJ-BPD/DS+	MAM-J	225	188174	0.001195701850415
4657	11A	g_Romboutsia	CHJ-BPD/DS+	MAM-J	51	188174	0.0002710257527607
4692	11A	g_Fusobacterium	CHJ-BPD/DS+	MAM-J	197	188174	0.0010469033979189
4719	11A	g_Candidatus Saccharimonas	CHJ-BPD/DS+	MAM-J	348	188174	0.0018493521953085
4869	11A	g_Escherichia-Shigella	CHJ-BPD/DS+	MAM-J	223	188174	0.0011850733895224
4870	11A	g_Klebsiella	CHJ-BPD/DS+	MAM-J	435	188174	0.0023116902441357
5020	11B	g_Corynebacterium	CHJ-BPD/DS+	MAM-I	929	171912	0.0054039275908604
5108	11B	g_Bacteroides	CHJ-BPD/DS+	MAM-I	17	171912	9.888780306203174e-05
5129	11B	g_Prevotella	CHJ-BPD/DS+	MAM-I	42	171912	0.0002443110428591
5139	11B	g_dgA-11 gut group	CHJ-BPD/DS+	MAM-I	1250	171912	0.0072711619898552
5182	11B	g_Campylobacter	CHJ-BPD/DS+	MAM-I	177	171912	0.0010295965377635
5184	11B	g_Helicobacter	CHJ-BPD/DS+	MAM-I	7036	171912	0.0409279166084973
5266	11B	g_Allobaculum	CHJ-BPD/DS+	MAM-I	8446	171912	0.0491297873330541
5282	11B	g_Aerococcus	CHJ-BPD/DS+	MAM-I	455	171912	0.0026467029643073
5296	11B	g_Lactobacillus	CHJ-BPD/DS+	MAM-I	4759	171912	0.027682767927777
5322	11B	g_Jeotgalicoccus	CHJ-BPD/DS+	MAM-I	227	171912	0.0013204430173577
5359	11B	g_Coprococcus	CHJ-BPD/DS+	MAM-I	4	171912	2.326771836753688e-05
5383	11B	g_Blautia	CHJ-BPD/DS+	MAM-I	22870	171912	0.1330331797663921
5388	11B	g_Lachnoclostridium	CHJ-BPD/DS+	MAM-I	1145	171912	0.0066603843827074
5394	11B	g_Lachnospiraceae NK4A136 group	CHJ-BPD/DS+	MAM-I	134	171912	0.0007794685653124
5400	11B	g_Marvinbryantia	CHJ-BPD/DS+	MAM-I	2480	171912	0.0144259853878728
5423	11B	g_Colidextribacter	CHJ-BPD/DS+	MAM-I	66	171912	0.0003839173530643
5433	11B	g_UCG-005	CHJ-BPD/DS+	MAM-I	196	171912	0.0011401182000093
5484	11B	g_Romboutsia	CHJ-BPD/DS+	MAM-I	3284	171912	0.0191027967797477
5519	11B	g_Fusobacterium	CHJ-BPD/DS+	MAM-I	209	171912	0.0012157382847038
5546	11B	g_Candidatus Saccharimonas	CHJ-BPD/DS+	MAM-I	154	171912	0.0008958071571501
5696	11B	g_Escherichia-Shigella	CHJ-BPD/DS+	MAM-I	290	171912	0.0016869095816464
5697	11B	g_Klebsiella	CHJ-BPD/DS+	MAM-I	197	171912	0.0011459351296011
5847	11C	g_Corynebacterium	CHJ-BPD/DS+	MAMLI	330	145052	0.0022750461903317
5935	11C	g_Bacteroides	CHJ-BPD/DS+	MAMLI	15	145052	0.0001034111904696
5956	11C	g_Prevotella	CHJ-BPD/DS+	MAMLI	331	145052	0.0022819402696963
5966	11C	g_dgA-11 gut group	CHJ-BPD/DS+	MAMLI	689	145052	0.004750020682238
6009	11C	g_Campylobacter	CHJ-BPD/DS+	MAMLI	19	145052	0.0001309875079281
6011	11C	g_Helicobacter	CHJ-BPD/DS+	MAMLI	1966	145052	0.0135537600308854
6093	11C	g_Allobaculum	CHJ-BPD/DS+	MAMLI	7812	145052	0.0538565479965805
6109	11C	g_Aerococcus	CHJ-BPD/DS+	MAMLI	2132	145052	0.0146981772054159
6123	11C	g_Lactobacillus	CHJ-BPD/DS+	MAMLI	2835	145052	0.019544714998759
6149	11C	g_Jeotgalicoccus	CHJ-BPD/DS+	MAMLI	1050	145052	0.0072387833328737
6186	11C	g_Coprococcus	CHJ-BPD/DS+	MAMLI	505	145052	0.003481510079144
6210	11C	g_Blautia	CHJ-BPD/DS+	MAMLI	19625	145052	0.1352963075310922
6215	11C	g_Lachnoclostridium	CHJ-BPD/DS+	MAMLI	3346	145052	0.0230675895540909
6221	11C	g_Lachnospiraceae NK4A136 group	CHJ-BPD/DS+	MAMLI	719	145052	0.0049568430631773
6227	11C	g_Marvinbryantia	CHJ-BPD/DS+	MAMLI	2355	145052	0.016235556903731
6250	11C	g_Colidextribacter	CHJ-BPD/DS+	MAMLI	698	145052	0.0048120673965198
6260	11C	g_UCG-005	CHJ-BPD/DS+	MAMLI	1045	145052	0.0072043129360505
6311	11C	g_Romboutsia	CHJ-BPD/DS+	MAMLI	1623	145052	0.0111890908088133
6346	11C	g_Fusobacterium	CHJ-BPD/DS+	MAMLI	227	145052	0.0015649560157736
6373	11C	g_Candidatus Saccharimonas	CHJ-BPD/DS+	MAMLI	1100	145052	0.0075834873011058
6523	11C	g_Escherichia-Shigella	CHJ-BPD/DS+	MAMLI	467	145052	0.0032195350632876
6524	11C	g_Klebsiella	CHJ-BPD/DS+	MAMLI	283	145052	0.0019510244601935
6674	11D	g_Corynebacterium	CHJ-BPD/DS+	MAM-D	5577	246708	0.0226056714820759
6762	11D	g_Bacteroides	CHJ-BPD/DS+	MAM-D	2	246708	8.106749679783387e-06
6783	11D	g_Prevotella	CHJ-BPD/DS+	MAM-D	1	246708	4.0533748398916935e-06
6793	11D	g_dgA-11 gut group	CHJ-BPD/DS+	MAM-D	4940	246708	0.0200236717090649
6836	11D	g_Campylobacter	CHJ-BPD/DS+	MAM-D	56	246708	0.0002269889910339
6838	11D	g_Helicobacter	CHJ-BPD/DS+	MAM-D	2437	246708	0.009878074484816
6920	11D	g_Allobaculum	CHJ-BPD/DS+	MAM-D	38680	246708	0.1567845388070107
6936	11D	g_Aerococcus	CHJ-BPD/DS+	MAM-D	455	246708	0.0018442855521507
6950	11D	g_Lactobacillus	CHJ-BPD/DS+	MAM-D	2420	246708	0.0098091671125379
6976	11D	g_Jeotgalicoccus	CHJ-BPD/DS+	MAM-D	133	246708	0.0005390988537055
7013	11D	g_Coprococcus	CHJ-BPD/DS+	MAM-D	75	246708	0.0003040031129918
7037	11D	g_Blautia	CHJ-BPD/DS+	MAM-D	49196	246708	0.1994098286233117
7042	11D	g_Lachnoclostridium	CHJ-BPD/DS+	MAM-D	7023	246708	0.0284668515005593
7048	11D	g_Lachnospiraceae NK4A136 group	CHJ-BPD/DS+	MAM-D	756	246708	0.0030643513789581
7054	11D	g_Marvinbryantia	CHJ-BPD/DS+	MAM-D	3865	246708	0.0156662937561813
7077	11D	g_Colidextribacter	CHJ-BPD/DS+	MAM-D	188	246708	0.0007620344698996
7087	11D	g_UCG-005	CHJ-BPD/DS+	MAM-D	195	246708	0.0007904080937788
7138	11D	g_Romboutsia	CHJ-BPD/DS+	MAM-D	736	246708	0.0029832838821602
7173	11D	g_Fusobacterium	CHJ-BPD/DS+	MAM-D	102	246708	0.0004134442336689
7200	11D	g_Candidatus Saccharimonas	CHJ-BPD/DS+	MAM-D	133	246708	0.0005390988537055
7350	11D	g_Escherichia-Shigella	CHJ-BPD/DS+	MAM-D	1158	246708	0.0046938080645945
7351	11D	g_Klebsiella	CHJ-BPD/DS+	MAM-D	91	246708	0.0003688571104301
7501	11F	g_Corynebacterium	CHJ-BPD/DS+	Fecal	101	157222	0.0006424037348462
7589	11F	g_Bacteroides	CHJ-BPD/DS+	Fecal	40	157222	0.0002544173207311
7610	11F	g_Prevotella	CHJ-BPD/DS+	Fecal	393	157222	0.0024996501761839
7620	11F	g_dgA-11 gut group	CHJ-BPD/DS+	Fecal	1760	157222	0.0111943621121725
7663	11F	g_Campylobacter	CHJ-BPD/DS+	Fecal	38	157222	0.0002416964546946
7665	11F	g_Helicobacter	CHJ-BPD/DS+	Fecal	1109	157222	0.0070537202172723
7747	11F	g_Allobaculum	CHJ-BPD/DS+	Fecal	2475	157222	0.0157420717202427
7763	11F	g_Aerococcus	CHJ-BPD/DS+	Fecal	97	157222	0.0006169620027731
7777	11F	g_Lactobacillus	CHJ-BPD/DS+	Fecal	1813	157222	0.0115314650621414
7803	11F	g_Jeotgalicoccus	CHJ-BPD/DS+	Fecal	54	157222	0.0003434633829871
7840	11F	g_Coprococcus	CHJ-BPD/DS+	Fecal	707	157222	0.0044968261439238
7864	11F	g_Blautia	CHJ-BPD/DS+	Fecal	5869	157222	0.0373293813842846
7869	11F	g_Lachnoclostridium	CHJ-BPD/DS+	Fecal	2880	157222	0.018318047092646
7875	11F	g_Lachnospiraceae NK4A136 group	CHJ-BPD/DS+	Fecal	258	157222	0.0016409917187162
7881	11F	g_Marvinbryantia	CHJ-BPD/DS+	Fecal	3499	157222	0.0222551551309613
7904	11F	g_Colidextribacter	CHJ-BPD/DS+	Fecal	1943	157222	0.0123583213545178
7914	11F	g_UCG-005	CHJ-BPD/DS+	Fecal	6276	157222	0.0399180776227245
7965	11F	g_Romboutsia	CHJ-BPD/DS+	Fecal	4022	157222	0.0255816615995216
8000	11F	g_Fusobacterium	CHJ-BPD/DS+	Fecal	24	157222	0.0001526503924387
8027	11F	g_Candidatus Saccharimonas	CHJ-BPD/DS+	Fecal	1351	157222	0.0085929450076961
8177	11F	g_Escherichia-Shigella	CHJ-BPD/DS+	Fecal	193	157222	0.001227563572528
8178	11F	g_Klebsiella	CHJ-BPD/DS+	Fecal	353	157222	0.0022452328554527
8328	12A	g_Corynebacterium	CHJ-BPD/DS+	MAM-J	0	177732	0.0
8416	12A	g_Bacteroides	CHJ-BPD/DS+	MAM-J	21792	177732	0.1226115724799135
8437	12A	g_Prevotella	CHJ-BPD/DS+	MAM-J	0	177732	0.0
8447	12A	g_dgA-11 gut group	CHJ-BPD/DS+	MAM-J	5	177732	2.813224405284361e-05
8490	12A	g_Campylobacter	CHJ-BPD/DS+	MAM-J	11	177732	6.189093691625594e-05
8492	12A	g_Helicobacter	CHJ-BPD/DS+	MAM-J	1059	177732	0.0059584092903922
8574	12A	g_Allobaculum	CHJ-BPD/DS+	MAM-J	26	177732	0.0001462876690747
8590	12A	g_Aerococcus	CHJ-BPD/DS+	MAM-J	0	177732	0.0
8604	12A	g_Lactobacillus	CHJ-BPD/DS+	MAM-J	12	177732	6.751738572682465e-05
8630	12A	g_Jeotgalicoccus	CHJ-BPD/DS+	MAM-J	0	177732	0.0
8667	12A	g_Coprococcus	CHJ-BPD/DS+	MAM-J	3	177732	1.6879346431706163e-05
8691	12A	g_Blautia	CHJ-BPD/DS+	MAM-J	57	177732	0.0003207075822024
8696	12A	g_Lachnoclostridium	CHJ-BPD/DS+	MAM-J	6	177732	3.3758692863412326e-05
8702	12A	g_Lachnospiraceae NK4A136 group	CHJ-BPD/DS+	MAM-J	4	177732	2.250579524227489e-05
8708	12A	g_Marvinbryantia	CHJ-BPD/DS+	MAM-J	14	177732	7.87702833479621e-05
8731	12A	g_Colidextribacter	CHJ-BPD/DS+	MAM-J	4	177732	2.250579524227489e-05
8741	12A	g_UCG-005	CHJ-BPD/DS+	MAM-J	0	177732	0.0
8792	12A	g_Romboutsia	CHJ-BPD/DS+	MAM-J	20	177732	0.0001125289762113
8827	12A	g_Fusobacterium	CHJ-BPD/DS+	MAM-J	5318	177732	0.0299214547746044
8854	12A	g_Candidatus Saccharimonas	CHJ-BPD/DS+	MAM-J	0	177732	0.0
9004	12A	g_Escherichia-Shigella	CHJ-BPD/DS+	MAM-J	133804	177732	0.7528413566493372
9005	12A	g_Klebsiella	CHJ-BPD/DS+	MAM-J	238	177732	0.0013390948169153
9155	12B	g_Corynebacterium	CHJ-BPD/DS+	MAM-I	25	179905	0.0001389622300658
9243	12B	g_Bacteroides	CHJ-BPD/DS+	MAM-I	1132	179905	0.0062922097773825
9264	12B	g_Prevotella	CHJ-BPD/DS+	MAM-I	1278	179905	0.0071037492009671
9274	12B	g_dgA-11 gut group	CHJ-BPD/DS+	MAM-I	345	179905	0.0019176787749089
9317	12B	g_Campylobacter	CHJ-BPD/DS+	MAM-I	22	179905	0.0001222867624579
9319	12B	g_Helicobacter	CHJ-BPD/DS+	MAM-I	2067	179905	0.0114893971818459
9401	12B	g_Allobaculum	CHJ-BPD/DS+	MAM-I	580	179905	0.0032239237375281
9417	12B	g_Aerococcus	CHJ-BPD/DS+	MAM-I	0	179905	0.0
9431	12B	g_Lactobacillus	CHJ-BPD/DS+	MAM-I	396	179905	0.0022011617242433
9457	12B	g_Jeotgalicoccus	CHJ-BPD/DS+	MAM-I	5	179905	2.779244601317362e-05
9494	12B	g_Coprococcus	CHJ-BPD/DS+	MAM-I	1948	179905	0.0108279369667324
9518	12B	g_Blautia	CHJ-BPD/DS+	MAM-I	227	179905	0.001261777048998
9523	12B	g_Lachnoclostridium	CHJ-BPD/DS+	MAM-I	6313	179905	0.035090742336233
9529	12B	g_Lachnospiraceae NK4A136 group	CHJ-BPD/DS+	MAM-I	13745	179905	0.0764014340902142
9535	12B	g_Marvinbryantia	CHJ-BPD/DS+	MAM-I	866	179905	0.0048136516494816
9558	12B	g_Colidextribacter	CHJ-BPD/DS+	MAM-I	4127	179905	0.0229398849392735
9568	12B	g_UCG-005	CHJ-BPD/DS+	MAM-I	874	179905	0.0048581195631027
9619	12B	g_Romboutsia	CHJ-BPD/DS+	MAM-I	39	179905	0.0002167810789027
9654	12B	g_Fusobacterium	CHJ-BPD/DS+	MAM-I	6465	179905	0.0359356326950334
9681	12B	g_Candidatus Saccharimonas	CHJ-BPD/DS+	MAM-I	3149	179905	0.0175036824990967
9831	12B	g_Escherichia-Shigella	CHJ-BPD/DS+	MAM-I	23893	179905	0.1328089825185514
9832	12B	g_Klebsiella	CHJ-BPD/DS+	MAM-I	335	179905	0.0018620938828826
9982	12C	g_Corynebacterium	CHJ-BPD/DS+	MAMLI	49	105335	0.0004651825129349
10070	12C	g_Bacteroides	CHJ-BPD/DS+	MAMLI	1956	105335	0.0185693264347083
10091	12C	g_Prevotella	CHJ-BPD/DS+	MAMLI	447	105335	0.0042436037404471
10101	12C	g_dgA-11 gut group	CHJ-BPD/DS+	MAMLI	328	105335	0.0031138747804623
10144	12C	g_Campylobacter	CHJ-BPD/DS+	MAMLI	27	105335	0.0002563250581478
10146	12C	g_Helicobacter	CHJ-BPD/DS+	MAMLI	25245	105335	0.2396639293682061
10228	12C	g_Allobaculum	CHJ-BPD/DS+	MAMLI	832	105335	0.0078986091992215
10244	12C	g_Aerococcus	CHJ-BPD/DS+	MAMLI	7	105335	6.645464470498884e-05
10258	12C	g_Lactobacillus	CHJ-BPD/DS+	MAMLI	997	105335	0.0094650401101248
10284	12C	g_Jeotgalicoccus	CHJ-BPD/DS+	MAMLI	8	105335	7.59481653771301e-05
10321	12C	g_Coprococcus	CHJ-BPD/DS+	MAMLI	526	105335	0.0049935918735463
10345	12C	g_Blautia	CHJ-BPD/DS+	MAMLI	374	105335	0.0035505767313808
10350	12C	g_Lachnoclostridium	CHJ-BPD/DS+	MAMLI	1722	105335	0.0163478425974272
10356	12C	g_Lachnospiraceae NK4A136 group	CHJ-BPD/DS+	MAMLI	1919	105335	0.018218066169839
10362	12C	g_Marvinbryantia	CHJ-BPD/DS+	MAMLI	1194	105335	0.0113352636825366
10385	12C	g_Colidextribacter	CHJ-BPD/DS+	MAMLI	1160	105335	0.0110124839796838
10395	12C	g_UCG-005	CHJ-BPD/DS+	MAMLI	688	105335	0.0065315422224331
10446	12C	g_Romboutsia	CHJ-BPD/DS+	MAMLI	72	105335	0.0006835334883941
10481	12C	g_Fusobacterium	CHJ-BPD/DS+	MAMLI	4340	105335	0.041201879717093
10508	12C	g_Candidatus Saccharimonas	CHJ-BPD/DS+	MAMLI	1400	105335	0.0132909289409977
10658	12C	g_Escherichia-Shigella	CHJ-BPD/DS+	MAMLI	12149	105335	0.1153367826458442
10659	12C	g_Klebsiella	CHJ-BPD/DS+	MAMLI	315	105335	0.0029904590117244
10809	12D	g_Corynebacterium	CHJ-BPD/DS+	MAM-D	335	190349	0.0017599251900456
